Song Name,Artist(s),Album,Duration
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2:17
Mr. Saxobeat - Radio Edit,Alexandra Stan,Saxobeats,3:15
Stressed Out,Twenty One Pilots,Blurryface,3:22
Beautiful Mistakes (feat. Megan Thee Stallion),"Maroon 5, Megan Thee Stallion",JORDI (Deluxe),3:47
Outside (feat. Ellie Goulding),"Calvin Harris, Ellie Goulding",Motion,3:47
Omen,"Cartoon, Jéja, Time To Talk, Asena",Omen,2:57
Can't Be Touched (feat. Mr. Magic & Trouble),"Roy Jones Jr., Mr Magic, Trouble","Body Head Bangerz, Vol. 1",3:34
"1, 2 Step (feat. Missy Elliott)","Ciara, Missy Elliott",Goodies,3:23
World Hold On (Children Of The Sky) - FISHER Rework,"Bob Sinclar, FISHER, Steve Edwards",World Hold On (Children Of The Sky) [FISHER Rework],2:58
Kill Bill,SZA,SOS,2:33
Can't Take My Eyes off You,Frankie Valli,Solo,3:23
Enemy (with JID) - from the series Arcane League of Legends,"Imagine Dragons, JID, Arcane, League of Legends",Mercury - Acts 1 & 2,2:53
Old Town Road (feat. Billy Ray Cyrus) - Remix,"Lil Nas X, Billy Ray Cyrus",2:37,
Goosebumps - Remix,"Travis Scott, HVME",Goosebumps (Remix),2:42
DIA DELÍCIA,"Nakama, ΣP",DIA DELÍCIA,1:15
The Less I Know The Better,Tame Impala,Currents,3:36
Hips Don't Lie (feat. Wyclef Jean),"Shakira, Wyclef Jean","Oral Fixation, Vol. 2 (Expanded Edition)",3:38
Wham Bam Shang-A-Lang,Silver,Silver,3:32
Love Again,Dua Lipa,Future Nostalgia,4:18
Burning Love,Elvis Presley,Elvis (Fool),2:50
"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series),4:04
Deja Vu,"INNA, Bob Taylor",Hot,4:21
Passionfruit,Drake,More Life,4:58
frozy kompa - nightcore,nightcore girl,frozy kompa (nightcore),3:07
Houdini,Eminem,The Death of Slim Shady (Coup De Grâce),3:47
Anything For You,Nyday,Anything For You,2:04
Natural,Imagine Dragons,Origins (Deluxe),3:09
Stay,"Zedd, Alessia Cara",Stay,3:30
One Dance,"Drake, Wizkid, Kyla",Views,2:53
Wildberry Lillet,Nina Chuba,Wildberry Lillet,2:12
Chihiro,Gravagerz,Chihiro,2:08
Trapped in a Dream,RudyWade,Trapped in a Dream,1:51
Titanium (feat. Sia),"David Guetta, Sia",Nothing but the Beat (Ultimate Edition),4:05
APT.,"ROSÉ, Bruno Mars",APT.,2:49
Havana (feat. Young Thug),"Camila Cabello, Young Thug",Camila,3:37
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",F*CK LOVE 3+: OVER YOU,2:21
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",Black Panther The Album Music From And Inspired By,3:52
Dirty Little Animals (From the series Arcane League of Legends),"BONES UK, Arcane, League of Legends",Dirty Little Animals (From the series Arcane League of Legends),3:25
GIVE IN,EVAN GIIA,GIVE IN,2:55
idfc - Slowed,ceZk,idfc - Slowed,2:10
ANXIETY (feat. Doechii),"Sleepy Hallow, Doechii",Boy Meets World,2:28
TENNESSEE,"Tommy Richman, Trevor Spitta, Zachary Moon",COYOTE,2:33
Alone,"Lynnic, ItsArius, Dinia",Alone,2:50
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, GIVĒON",Justice,3:18
Habits (Stay High),Tove Lo,Queen Of The Clouds,3:29
Rhythm Is a Dancer,SNAP!,The Madman's Return,5:32
"Something Stupid (From ""Better Call Saul"")",Lola Marsh,"Something Stupid (From ""Better Call Saul"")",4:28
"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,Greatest,4:45
Freak (feat. REI AMI),"Sub Urban, REI AMI",Thrill Seeker,3:14
People You Know,Selena Gomez,Rare,3:14
Straight A's,Connor Price,Straight A's,2:11
Delicate,Taylor Swift,reputation,3:52
A New Day (feat. Celine Dion),"Sebastian Ingrosso, Céline Dion",A New Day (feat. Celine Dion),3:27
A Horse with No Name,"America, George Martin",America,4:12
BURN IT DOWN,Linkin Park,LIVING THINGS,3:50
Lost in Translation,EMBRZ,Moments,3:21
Dirty Little Animals (from the series Arcane League of Legends),BONES UK,Arcane League of Legends (Soundtrack from the Animated Series),3:25
